route,dest
"0,1,7,7,10,7,28,7,19",rs1053
"0,1,10,7,28,7,21",rs911
"0,1,7,7,28,7,1,7,28,24",rs498
"0,1,28,7,19",rs286
"0,1,7,7,10,19",rs901
"0,1,28,4,1,4,20",rs158
"0,1,28,4,1,4,28,10,19",rs711
"0,1,7,7,1,28,18",rs326
"0,1,7,7,7,1,10,7,27",rs1041
"0,1,7,7,28,7,27",rs415
"0,1,7,7,7,17",rs402
"0,1,4,4,13,4,4,24",rs1624
"0,1,7,7,10,7,28,7,16",rs1050
"0,1,7,7,1,28,25",oss-scratch17
"0,1,7,7,10,7,28,7,1,17",rs1061
"0,1,28,7,2,10,28,1,20",rs866
"0,1,4,9",a1-nem2-a
"0,1,4,4,1,28,21",oss-scratch9
"0,1,7,7,7,1,10,28,16",rs952
"0,1,7,7,1,28,7,1,28,18",rs435
"0,1,28,7,2,10,28,1,24",rs868
"0,1,7,1,10,28,24",rs814
"0,1,7,16",rs275
"0,1,28,1,16",rs31
"0,1,7,7,10,7,18",rs972
"0,1,7,7,7,7,16",rs466
"0,1,28,10,18",rs548
"0,1,7,7,10,18",rs900
"0,1,4,4,4,1,4,25",rs463
"0,1,10,7,28,20",rs838
"0,1,10,7,28,7,18",rs908
"0,1,7,7,7,1,10,7,17",rs1033
"0,1,7,7,7,1,10,28,17",rs953
"0,1,7,7,1,28,7,1,28,17",rs434
"0,1,7,7,10,17",rs899
"0,1,7,7,1,18",rs331
"0,1,4,4,10,4,19",rs757
"0,1,28,1,28,24",rs44
"0,1,7,7,1,28,7,16",rs384
"0,1,7,1,10,7,19",rs891
"0,1,4,1,13,27",rs1185
"0,1,7,7,28,24",rs350
"0,1,10,7,28,7,24",rs912
"0,1,4,4,1,28,4,2,4,24",rs516
"0,1,7,7,1,20",rs333
"0,1,4,4,10,4,25",rs761
"0,1,7,7,1,28,20",rs328
"0,1,7,7,10,7,28,7,24",rs1056
"0,1,10,7,28,7,1,7,17",rs989
"0,1,17",oss-scratch2
"0,1,4,4,28,4,21",rs219
"0,1,1,19",rs11
"0,1,1,28,7,24",rs266
"0,1,7,7,7,1,18",rs394
"0,1,7,7,1,28,10,1,28,17",rs935
"0,1,7,7,1,28,7,20",rs388
"0,1,7,7,10,21",rs903
"0,1,4,4,10,4,28,18",rs764
"0,1,1,28,4,1,16",rs117
"0,1,7,7,1,28,7,1,10,7,28,25",rs1085
"0,1,28,4,1,16",rs98
"0,1,1,28,4,1,25",oss-scratch8
"0,1,7,7,7,1,10,7,26",rs1040
"0,1,28,7,2,7,28,7,26",rs431
"0,1,10,7,28,7,26",rs914
"0,1,7,7,1,28,10,1,17",rs943
"0,1,4,4,10,4,28,17",rs763
"0,1,4,4,28,4,20",rs218
"0,1,7,7,1,28,10,1,25",rs949
"0,1,7,7,1,28,7,7,17",rs449
"0,1,28,1,28,4,25",oss-scratch7
"0,1,10,7,24",rs832
"0,1,4,4,13,4,28,19",rs1341
"0,1,7,7,10,20",rs902
"0,1,7,7,1,28,7,7,16",rs448
"0,1,28,1,18",rs32
"0,1,7,7,1,28,7,17",rs385
"0,1,7,7,1,28,7,21",rs389
"0,1,7,7,1,21",rs334
"0,1,7,7,1,28,24",rs329
"0,1,7,7,28,7,1,7,28,1,17",rs503
"0,1,4,4,10,4,4,16",rs1042
"0,1,4,4,28,4,4,27",rs483
"0,1,4,4,28,4,4,21",rs479
"0,1,7,1,10,28,20",rs812
"0,1,7,7,1,28,7,7,20",rs452
"0,1,7,7,1,28,7,18",rs386
"0,1,7,7,28,26",rs352
"0,1,10,7,28,7,17",rs907
"0,1,7,7,28,7,1,7,28,16",rs492
"0,1,28,4,1,4,28,10,16",rs708
"0,1,7,7,1,28,10,24",rs886
"0,1,7,7,28,7,18",rs409
"0,1,28,7,2,7,28,7,25",oss-scratch23
"0,1,7,7,10,16",rs898
"0,1,7,1,10,28,17",rs809
"0,1,7,7,24",rs343
"0,1,4,4,4,1,10,28,4,20",rs1028
"0,1,1,28,13,1,16",rs1158
"0,1,28,4,1,13,28,1,16",rs1222
"0,1,1,28,4,1,10,25",rs661
"0,1,7,7,1,28,7,1,28,25",rs440
"0,1,4,4,1,28,4,2,26",rs258
"0,1,1,28,4,1,18",rs118
"0,1,4,4,28,4,18",rs216
"0,1,7,1,10,7,17",rs889
"0,1,7,7,1,27",rs338
"0,1,28,19",rs25
"0,1,4,4,4,1,4,21",rs461
"0,1,1,28,7,1,10,24",rs876
"0,1,4,4,28,4,1,16",rs224
"0,1,7,7,10,7,24",rs976
"0,1,7,7,7,21",rs406
"0,1,28,7,2,7,28,13,20",rs1504
"0,1,28,7,2,25",rs298
"0,1,10,4,28,4,1,4,18",rs774
"0,1,28,1,28,7,20",rs303
"0,1,7,7,28,7,1,7,28,18",rs494
"0,1,28,4,1,4,28,27",rs170
"0,1,1,21",rs13
"0,1,28,1,28,26",rs46
"0,1,4,4,28,4,4,19",rs477
"0,1,10,7,28,27",rs843
"0,1,28,1,28,1,19",rs50
"0,1,7,7,28,7,1,7,25",rs491
"0,1,13,4,16",rs1186
"0,1,28,13,17",rs1123
"0,1,1,28,4,1,27",rs124
"0,1,28,4,1,11,25",rs635
"0,1,7,7,28,7,1,7,28,1,20",rs506
"0,1,1,28,1,16",rs55
"0,1,28,1,28,18",rs40
"0,1,28,26",rs29
"0,1,7,7,1,28,7,1,10,19",rs1017
"0,1,1,28,1,27",rs63
"0,1,4,4,1,20",rs133
"0,1,7,7,7,1,13,28,24",rs1534
"0,1,1,28,4,1,28,16",rs112
"0,1,28,1,28,1,20",rs51
"0,1,28,1,28,4,16",rs103
"0,1,28,4,1,4,28,13,16",rs1284
"0,1,13,4,28,24",rs1200
"0,1,4,4,1,21",rs134
"0,1,28,1,28,13,16",rs1140
"0,1,28,7,25",boot5
"0,1,10,4,28,4,1,25",rs707
"0,1,1,28,4,18",rs66
"0,1,4,1,13,25",rs1183
"0,1,13,4,28,27",rs1203
"0,1,1,28,1,18",rs56
"0,1,1,28,10,1,28,21",rs579
"0,1,28,7,2,10,28,26",rs860
"0,1,1,28,1,25",rs61
"0,1,28,7,2,7,28,7,20",rs428
"0,1,10,7,25",rs833
"0,1,4,4,28,4,4,26",rs482
"0,1,28,16",rs23
"0,1,1,28,4,16",rs64
"0,1,13,4,28,21",rs1199
"0,1,1,28,4,1,10,26",rs662
"0,1,1,28,16",rs1
"0,1,1,28,18",rs2
"0,1,4,4,28,21",rs150
"0,1,1,28,4,1,13,19",rs1233
"0,1,28,7,16",rs283
"0,1,7,7,1,28,7,1,28,21",rs438
"0,1,4,4,10,4,17",rs755
"0,1,13,7,18",rs1404
"0,1,7,7,7,1,16",rs392
"0,1,1,28,4,1,4,20",rs182
"0,1,7,1,10,28,16",rs808
"0,1,7,7,1,16",rs330
"0,1,13,4,28,4,1,4,28,1,17",rs1367
"0,1,18",rs18
"0,1,28,7,2,7,28,19",rs363
"0,1,10,7,28,7,1,20",rs920
"0,1,1,28,4,1,10,19",rs657
"0,1,25",rs22
"0,1,1,28,7,1,10,20",rs874
"0,1,4,4,1,28,4,16",rs188
"0,1,7,7,10,7,28,7,20",rs1054
"0,1,4,4,13,4,18",rs1332
"0,1,1,28,20",rs4
"0,1,7,1,10,28,18",rs810
"0,1,1,28,4,1,28,20",rs115
"0,1,19",rs19
"0,1,4,4,4,1,10,20",rs748
"0,1,10,7,28,7,1,16",rs916
"0,1,7,7,13,7,28,7,26",rs1634
"0,1,28,4,27",rs97
"0,1,28,4,1,13,28,1,19",rs1225
"0,1,7,7,10,7,28,7,1,21",rs1065
"0,1,4,4,4,1,10,26",rs752
"0,1,10,4,28,4,1,4,28,25",rs787
"0,1,4,4,1,28,19",rs127
"0,1,4,1,13,28,21",rs1173
"0,1,28,1,28,4,21",rs108
"0,1,4,4,4,20",rs210
"0,1,7,7,13,25",rs1481
"0,1,28,4,1,4,28,16",rs162
"0,1,28,4,1,13,28,18",rs1214
"0,1,28,4,1,11,28,25",rs643
"0,1,4,4,28,4,4,25",rs481
"0,1,10,4,28,27",rs627
"0,1,28,4,20",rs93
"0,1,1,20",rs12
"0,1,4,4,28,26",rs153
"0,1,4,4,28,18",rs147
"0,1,28,7,2,24",rs297
"0,1,28,7,2,7,28,10,21",rs929
"0,1,13,4,28,16",rs1194
"0,1,4,1,10,26",rs608
"0,1,28,4,1,4,24",rs160
"0,1,7,17",rs276
"0,1,10,4,28,4,1,4,28,17",rs781
"0,1,7,7,10,24",rs904
"0,1,4,4,10,4,4,20",rs1046
"0,1,1,28,7,1,7,26",rs382
"0,1,10,4,28,4,1,16",rs700
"0,1,7,7,28,7,1,21",rs421
"0,1,1,28,7,25",rs267
"0,1,1,28,1,19",rs57
"0,1,20",rs20
"0,1,7,7,1,28,10,1,28,19",rs937
"0,1,1,28,4,1,24",rs122
"0,1,13,7,28,7,1,19",rs1495
"0,1,10,4,28,4,1,4,28,4,25",rs1075
"0,1,28,1,28,4,26",rs110
"0,1,7,7,1,28,7,1,10,7,28,19",rs1081
"0,1,1,28,7,1,24",rs322
"0,1,28,4,1,4,16",rs155
"0,1,10,7,19",rs829
"0,1,28,7,2,7,20",rs358
"0,1,28,17",mds-home1
"0,1,10,7,28,7,1,25",rs923
"0,1,28,4,1,19",rs100
"0,1,10,7,28,7,1,7,28,1,25",rs1013
"0,1,28,10,17",rs547
"0,1,28,7,2,7,28,1,24",rs374
"0,1,28,1,28,7,27",rs307
"0,1,4,4,1,28,10,1,26",rs734
"0,1,10,4,28,4,1,4,28,4,26",rs1076
"0,1,13,1,20",rs1108
"0,1,7,7,10,7,21",rs975
"0,1,7,7,1,28,7,1,26",rs446
"0,1,1,28,4,1,19",rs119
"0,1,10,4,28,4,1,20",rs704
"0,1,7,7,28,7,1,7,28,1,25",rs509
"0,1,4,4,28,16",rs146
"0,1,1,28,7,17",rs261
"0,1,4,4,28,4,19",rs217
"0,1,28,1,28,7,26",rs306
"0,1,13,7,28,7,1,25",rs1499
"0,1,1,28,21",rs5
"0,1,10,4,28,4,18",rs692
"0,1,28,1,28,1,24",rs53
"0,1,10,4,28,4,1,4,20",rs776
"0,1,1,24",rs14
"0,1,28,10,20",rs550
"0,1,28,1,28,4,20",rs107
"0,1,28,13,18",rs1124
"0,1,1,28,1,24",rs60
"0,1,28,4,1,4,28,10,17",rs709
"0,1,7,7,1,28,10,1,19",rs945
"0,1,28,7,2,7,19",rs357
"0,1,7,7,7,1,10,18",rs962
"0,1,4,1,13,28,19",rs1171
"0,1,4,4,1,24",rs135
"0,1,28,4,1,4,28,1,20",rs174
"0,1,28,24",rs28
"0,1,28,4,1,13,28,27",rs1221
"0,1,7,7,28,7,1,7,17",rs485
"0,1,10,4,28,4,1,4,28,1,19",rs793
"0,1,10,7,28,7,1,7,28,1,24",rs1012
"0,1,4,4,1,28,10,19",rs667
"0,1,4,4,1,28,4,24",rs194
"0,1,13,7,28,7,1,18",rs1494
"0,1,13,7,28,7,1,7,28,27",rs1581
"0,1,7,7,7,1,10,28,21",rs957
"0,1,7,7,1,28,7,1,28,24",rs439
"0,1,4,4,4,1,10,28,4,18",rs1026
"0,1,7,7,7,1,13,20",rs1540
"0,1,7,7,1,28,10,16",rs880
"0,1,7,7,28,7,1,19",rs419
"0,1,10,4,28,4,1,4,24",rs778
"0,1,7,7,1,28,7,1,10,7,28,16",rs1078
"0,1,13,4,28,4,1,4,28,4,21",rs1649
"0,1,1,28,7,1,10,18",rs872
"0,1,13,4,28,4,1,4,28,4,24",rs1650
"0,1,7,7,28,7,1,8,28,1,20",rs506
"0,1,10,4,28,4,19",rs693
"0,1,28,7,2,18",rs293
"0,1,13,7,28,17",rs1411
"0,1,28,7,2,7,28,20",rs364
"0,1,10,4,28,4,1,4,28,18",rs782
"0,1,13,4,28,4,1,18",rs1278
"0,1,28,1,28,10,24",rs570
"0,1,10,7,28,7,1,7,28,1,17",rs1007
"0,1,28,4,1,4,28,4,27",rs241
"0,1,7,7,1,28,7,25",rs391
"0,1,7,7,7,1,10,21",rs965
"0,1,4,4,10,4,28,16",rs762
"0,1,1,28,7,1,28,16",rs308
"0,1,28,7,2,7,16",rs354
"0,1,13,7,19",rs1405
"0,1,4,4,1,28,13,1,28,18",rs1296
"0,1,28,7,2,10,28,27",rs861
"0,1,13,7,28,7,24",rs1488
"0,1,28,13,1,19",rs1135
"0,1,7,7,1,28,7,1,13,7,16",rs1662
"0,1,13,20",rs1118
"0,1,7,1,13,20",rs1396
"0,1,13,7,21",rs1407
"0,1,28,1,28,7,21",rs304
"0,1,4,4,1,28,4,1,13,21",rs1379
"0,1,28,7,2,13,28,1,21",rs1443
"0,1,10,7,28,7,19",rs909
"0,1,4,4,4,1,4,20",rs460
"0,1,1,28,13,1,28,17",rs1151
"0,1,7,7,13,21",rs1479
"0,1,10,7,28,7,1,7",c4-nem3-a
"0,1,4,4,1,28,4,2,10,21",rs803
"0,1,7,7,28,7,1,25",rs423
"0,1,28,7,7,28",b2-nem2-a
"0,1,1,28,7,19",rs263
"0,1,13,7,28,7,1,7,18",rs1566
"0,1,7,1,13,7,18",rs1466
"0,1,10,7,28,7,1,17",rs917
"0,1,13,7,28,20",rs1414
"0,1,28,4,1,13,16",rs1204
"0,1,13,7,28,7,1,7,28,1,25",rs1589
"0,1,28,7,2,13,28,16",rs1428
"0,1,28,13,1,21",rs1137
"0,1,10,7,28,7,1,7,28,19",rs999
"0,1,4,4,10,16",rs682
"0,1,28,1,28,1,25",rs54
"0,1,28,7,2,7,28,16",rs361
"0,1,7,7,7,1,10,7,20",rs1036
"0,1,1,28,7,20",rs264
"0,1,28,7,2,7,28,1,20",rs373
"0,1,4,4,1,28,10,25",rs671
"0,1,4,4,1,28,4,2,4,18",rs512
"0,1,1,28,7,1,13,19",rs1449
"0,1,10,4,28,4,1,18",rs702
"0,1,28,4,1,4,19",rs157
"0,1,4,1,10,4,17",rs673
"0,1,10,4,28,4,1,4,19",rs775
"0,1,7,7,1,28,7,1,13,7,18",rs1664
"0,1,13,7,28,7,1,7,28,17",rs1573
"0,1,28,1,28,4,17",rs104
"0,1,7,7,13,7,28,7,1,20",rs1640
"0,1,10,4,28,4,1,4,28,26",rs788
"0,1,28,13,20",rs1126
"0,1,28,4,1,4,28,18",rs163
"0,1,28,7,2,10,28,24",rs858
"0,1,28,1,28,19",rs41
"0,1,13,7,28,7,18",rs1484
"0,1,13,7,28,7,1,7,28,1,24",rs1588
"0,1,10,4,28,4,1,4,28,20",rs784
"0,1,1,28,7,1,10,25",rs877
"0,1,13,4,28,4,1,4,28,4,20",rs1648
"0,1,1,28,4,1,20",rs120
"0,1,7,7,13,7,18",rs1548
"0,1,28,7,2,10,21",rs849
"0,1,10,4,28,4,1,4,28,4,16",rs1068
"0,1,7,7,1,28,13,1,25",rs1525
"0,1,1,28,10,1,28,24",rs580
"0,1,28,7,2,19",rs294
"0,1,4,4,1,28,4,1,20",rs254
"0,1,7,7,1,19",rs332
"0,1,13,4,28,20",rs1198
"0,1,7,7,1,28,7,1,10,7,21",rs1091
"0,1,28,4,1,4,28,10,21",rs713
"0,1,10,4,28,4,1,4,28,16",rs780
"0,1,13,7,28,19",rs1413
"0,1,7,7,7,1,10,20",rs964
"0,1,1,28,1,20",rs58
"0,1,28,7,2,7,28,7,21",rs429
"0,1,7,7,1,28,13,24",rs1462
"0,1,28,7,2,20",rs295
"0,1,10,7,28,7,1,18",rs918
"0,1,7,7,1,28,7,7,25",rs455
"0,1,10,4,28,4,1,4,28,4,17",rs1069
"0,1,28,4,1,13,28,1,17",rs1223
"0,1,10,4,28,4,1,4,25",rs779
"0,1,7,7,7,1,17",rs393
"0,1,28,1,28,10,19",rs567
"0,1,28,4,1,13,28,20",rs1216
"0,1,7,7,13,7,28,7,20",rs1630
"0,1,28,4,1,25",admin2
"0,1,7,7,1,28,13,1,16",rs1518
"0,1,1,28,4,1,26",rs123
"0,1,4,4,28,4,1,24",rs230
"0,1,7,7,1,28,7,1,13,7,26",rs1670
"0,1,4,4,1,28,4,1,4,16",rs510
"0,1,7,7,1,28,7,1,18",rs442
"0,1,13,7,17",rs1403
"0,1,10,7,18",rs828
"0,1,7,1,13,7,17",rs1465
"0,1,13,4,28,4,1,4,28,4,25",rs1651
"0,1,4,4,4,1,26",rs204
"0,1,7,7,1,28,7,1,13,7,28,18",rs1656
"0,1,7,7,28,7,1,8,28,1,25",rs509
"0,1,4,1,13,28,18",rs1170
"0,1,13,7,28,27",rs1419
"0,1,7,7,7,1,10,27",rs969
"0,1,1,28,7,21",rs265
"0,1,4,4,4,1,10,28,4,25",rs1031
"0,1,28,4,1,4,28,4,25",rs239
"0,1,1,28,7,1,7,24",rs380
"0,1,13,4,28,4,1,4,28,21",rs1361
"0,1,1,28,7,1,10,16",rs870
"0,1,4,4,1,28,4,1,18",rs252
"0,1,7,7,13,7,28,7,1,18",rs1638
"0,1,13,4,28,4,1,4,28,4,27",rs1653
"0,1,28,7,2,13,28,24",rs1434
"0,1,10,4,28,4,1,4,28,27",rs789
"0,1,7,7,1,28,7,1,13,7,20",rs1666
"0,1,28,7,2,7,28,13,17",rs1501
"0,1,28,20",rs26
"0,1,28,4,1,4,28,4,24",rs238
"0,1,28,1,28,1,16",rs48
"0,1,28,1,28,7,16",rs299
"0,1,7,7,13,7,28,7,1,21",rs1641
"0,1,28,1,24",rs36
"0,1,28,1,28,13,24",rs1146
"0,1,13,7,28,7,1,24",rs1498
"0,1,1,28,4,1,13,20",rs1234
"0,1,13,7,28,7,1,7,28,1,20",rs1586
"0,1,4,4,1,28,4,2,4,25",rs517
"0,1,7,7,1,28,7,1,28,16",rs433
"0,1,4,4,1,28,13,1,24",rs1308
"0,1,4,1,13,18",rs1178
"0,1,7,7,13,7,28,26",rs1562
"0,1,7,7,7,1,10,24",rs966
"0,1,7,7,28,7,1,8,28,16",rs492
"0,1,28,1,28,10,27",rs573
"0,1,7,7,13,7,16",rs1546
"0,1,7,1,13,28,21",rs1389
"0,1,10,4,28,4,1",c3-nem3-a
"0,1,7,7,1,28,13,1,28,17",rs1511
"0,1,28,7,2,16",rs291
"0,1,4,4,13,4,4,20",rs1622
"0,1,4,4,1,28,4,1,4,18",rs512
"0,1,1,28,4,1,4,19",rs181
"0,1,13,4,28,4,1,4,28,4,26",rs1652
"0,1,7,7,1,28,10",b4-nem1-a
"0,1,7,1,13,25",rs1399
"0,1,13,4,28,4,1,19",rs1279
"0,1,7,7,28,7,1,8,28,24",rs498
"0,1,28,7,2,10,28,1,17",rs863
"0,1,7,7,1,28,7,1,19",rs443
"0,1,28,4,1,4,18",rs156
"0,1,10,4,28,4,1,4,16",rs772
"0,1,7,7,1,28,13,1,20",rs1522
"0,1,4,4,28,4,1,19",rs227
"0,1,7,7,1,28,10,1,28,20",rs938
"0,1,28,7,2,10,17",rs845
"0,1,7,7,1,28,7,1,27",rs447
"0,1,7,7,7,1,21",rs397
"0,1,7,7,7,1,13,28,18",rs1530
"0,1,7,7,7,1,10,28,24",rs958
"0,1,7,7,28,7,1,8,28,1,19",rs505
"0,1,28,4,1,18",rs99
"0,1,4,4,1,28,13,1,28,20",rs1298
"0,1,28,4,1,11,20",rs632
"0,1,7,7,1,28,7,1,10,27",rs1023
"0,1,4,4,1,28,4,2,35",d1-nem4-a
"0,1,7,7,7,1,13,18",rs1538
"0,1,4,4,4,1,13,28,4,24",rs1606
"0,1,7,7,1,28,13,1,17",rs1519
"0,1,7,7,7,1,13,7,27",rs1617
"0,1,28,7,2,7,28,13,24",rs1506
"0,1,13,7,28,7,1,16",rs1492
"0,1,1,28,4,1,10,24",rs660
"0,1,4,4,4,1,25",rs203
"0,1,10,7,28,7,1,7,24",rs994
"0,1,28,4,1,13,28,1,25",rs1229
"0,1,28,1,28,7,17",rs300
"0,1,13,4,28,4,1,4,17",rs1349
"0,1,7,7,1,28,13,1,28,18",rs1512
"0,1,28,10,1,16",rs556
"0,1,4,4,4,1,4,19",rs459
"0,1,7,7,1,28,10,1,28,25",rs941
"0,1,7,7,1,28,7,1,10,7,16",rs1086
"0,1,1,28,4,1,13,18",rs1232
"0,1,4,4,4,1,4,16",rs456
"0,1,4,4,1,28,13,1,18",rs1304
"0,1,4,4,1,28,4,1,28,17",rs243
"0,1,4,4,28,4,1,17",rs225
"0,1,1,28,4,1,4,4,10,21",rs803
"0,1,28,7,2,10,18",rs846
"0,1,28,7,2,10,28,1,25",rs869
"0,1,10,4,28,4,1,21",rs705
"0,1,4,4,13,4,24",rs1336
"0,1,28,1,28,25",rs45
"0,1,1,26",rs15
"0,1,1,28,10,1,27",rs591
"0,1,4,4,1,28,13,1,27",rs1311
"0,1,1,28,4,1,4,21",rs183
"0,1,7,7,1,28,7,1,13,7,19",rs1665
"0,1,28,4,1,4,28,21",rs166
"0,1,1,28,7,1,21",rs321
"0,1,28,1,28,4,19",rs106
"0,1,28,7,2,7,28,21",rs365
"0,1,7,7,1,28,7,1,13,7,21",rs1667
"0,1,1,28,13,25",rs1103
"0,1,28,1,28,4,18",rs105
"0,1,7,7,1,28,7,1,10,16",rs1014
"0,1,1,28,7,1,13,20",rs1450
"0,1,13,7,28,7,1,7,28,24",rs1578
"0,1,4,21",rs86
"0,1,7,7,7,1,13,28,19",rs1531
"0,1,28,4,1,4,28,4,19",rs235
"0,1,28,7,2,13,28,1,24",rs1444
"0,1,4,17",rs82
"0,1,7,7,7,1,10,7,21",rs1037
"0,1,1,28,4,1,10,18",rs656
"0,1,4,4,1,28,4,19",rs191
"0,1,28,4,1,4,28,13,25",rs1291
"0,1,28,7,2,10,28,17",rs853
"0,1,28,7,2,28,1",a2-nem4-a
"0,1,10,4,28,4,1,4,28,19",rs783
"0,1,13,7,28,18",rs1412
"0,1,7,7,28,7,1,8,25",rs491
"0,1,28,7,2,7,28,18",rs362
"0,1,7,7,1,28,7,1,10,26",rs1022
"0,1,1,28,10,1,28",a3-nem4-a
"0,1,13,7,16",rs1402
"0,1,10,4,28,4,1,4,17",rs773
"0,1,28,7,2,10,20",rs848
"0,1,7,7,7,1,10,28,18",rs954
