host,row,col,rack,shelf,slot,x,y,z,section,ibport,partner,bootnode
boot7-man,,,,,,,,,,,,
boot7-sp,b,2,b2,2,0,0,6,2,1,16,rs339,admin1
boot8,c,2,c2,4,6,0,5,7,1,16,rs441,admin1
boot8-man,,,,,,,,,,,,
boot8-sp,c,2,c2,4,6,0,5,7,1,16,rs441,admin1
c1-cmm1,c,1,c1,1,,0,2,,1,,,
c1-cmm2,c,1,c1,2,,0,2,,1,,,
c1-cmm3,c,1,c1,3,,0,2,,1,,,
c1-cmm4,c,1,c1,4,,0,2,,1,,,
c10-cmm1,c,10,c10,1,,3,5,,3,,,
c10-cmm2,c,10,c10,2,,3,5,,3,,,
c10-cmm3,c,10,c10,3,,3,5,,3,,,
c10-cmm4,c,10,c10,4,,3,5,,3,,,
c2-cmm1,c,2,c2,1,,0,5,,1,,,
c2-cmm2,c,2,c2,2,,0,5,,1,,,
c2-cmm3,c,2,c2,3,,0,5,,1,,,
c2-cmm4,c,2,c2,4,,0,5,,1,,,
c3-cmm1,c,3,c3,1,,1,2,,2,,,
c3-cmm2,c,3,c3,2,,1,2,,2,,,
c3-cmm3,c,3,c3,3,,1,2,,2,,,
c3-cmm4,c,3,c3,4,,1,2,,2,,,
c4-cmm1,c,4,c4,1,,1,5,,2,,,
c4-cmm2,c,4,c4,2,,1,5,,2,,,
c4-cmm3,c,4,c4,3,,1,5,,2,,,
c4-cmm4,c,4,c4,4,,1,5,,2,,,
c5-cmm1,c,5,c5,1,,4,2,,2,,,
c5-cmm2,c,5,c5,2,,4,2,,2,,,
c5-cmm3,c,5,c5,3,,4,2,,2,,,
c5-cmm4,c,5,c5,4,,4,2,,2,,,
c6-cmm1,c,6,c6,1,,4,5,,2,,,
c6-cmm2,c,6,c6,2,,4,5,,2,,,
c6-cmm3,c,6,c6,3,,4,5,,2,,,
c6-cmm4,c,6,c6,4,,4,5,,2,,,
c7-cmm1,c,7,c7,1,,2,2,,3,,,
c7-cmm2,c,7,c7,2,,2,2,,3,,,
c7-cmm3,c,7,c7,3,,2,2,,3,,,
c7-cmm4,c,7,c7,4,,2,2,,3,,,
c8-cmm1,c,8,c8,1,,2,5,,3,,,
c8-cmm2,c,8,c8,2,,2,5,,3,,,
c8-cmm3,c,8,c8,3,,2,5,,3,,,
c8-cmm4,c,8,c8,4,,2,5,,3,,,
c9-cmm1,c,9,c9,1,,3,2,,3,,,
c9-cmm2,c,9,c9,2,,3,2,,3,,,
c9-cmm3,c,9,c9,3,,3,2,,3,,,
c9-cmm4,c,9,c9,4,,3,2,,3,,,
d1-cmm1,d,1,d1,1,,0,3,,1,,,
d1-cmm2,d,1,d1,2,,0,3,,1,,,
d1-cmm3,d,1,d1,3,,0,3,,1,,,
d1-cmm4,d,1,d1,4,,0,3,,1,,,
d10-cmm1,d,10,d10,1,,3,4,,3,,,
d10-cmm2,d,10,d10,2,,3,4,,3,,,
d10-cmm3,d,10,d10,3,,3,4,,3,,,
d10-cmm4,d,10,d10,4,,3,4,,3,,,
d2-cmm1,d,2,d2,1,,0,4,,1,,,
d2-cmm2,d,2,d2,2,,0,4,,1,,,
d2-cmm3,d,2,d2,3,,0,4,,1,,,
d2-cmm4,d,2,d2,4,,0,4,,1,,,
d3-cmm1,d,3,d3,1,,1,3,,2,,,
d3-cmm2,d,3,d3,2,,1,3,,2,,,
d3-cmm3,d,3,d3,3,,1,3,,2,,,
d3-cmm4,d,3,d3,4,,1,3,,2,,,
d4-cmm1,d,4,d4,1,,1,4,,2,,,
d4-cmm2,d,4,d4,2,,1,4,,2,,,
d4-cmm3,d,4,d4,3,,1,4,,2,,,
d4-cmm4,d,4,d4,4,,1,4,,2,,,
d5-cmm1,d,5,d5,1,,4,3,,2,,,
d5-cmm2,d,5,d5,2,,4,3,,2,,,
d5-cmm3,d,5,d5,3,,4,3,,2,,,
d5-cmm4,d,5,d5,4,,4,3,,2,,,
d6-cmm1,d,6,d6,1,,4,4,,2,,,
d6-cmm2,d,6,d6,2,,4,4,,2,,,
d6-cmm3,d,6,d6,3,,4,4,,2,,,
d6-cmm4,d,6,d6,4,,4,4,,2,,,
d7-cmm1,d,7,d7,1,,2,3,,3,,,
d7-cmm2,d,7,d7,2,,2,3,,3,,,
d7-cmm3,d,7,d7,3,,2,3,,3,,,
d7-cmm4,d,7,d7,4,,2,3,,3,,,
d8-cmm1,d,8,d8,1,,2,4,,3,,,
d8-cmm2,d,8,d8,2,,2,4,,3,,,
d8-cmm3,d,8,d8,3,,2,4,,3,,,
d8-cmm4,d,8,d8,4,,2,4,,3,,,
d9-cmm1,d,9,d9,1,,3,3,,3,,,
d9-cmm2,d,9,d9,2,,3,3,,3,,,
d9-cmm3,d,9,d9,3,,3,3,,3,,,
d9-cmm4,d,9,d9,4,,3,3,,3,,,
eth1,,,,,,,,,,,,
eth2,,,,,,,,,,,,
eth3,,,,,,,,,,,,
eth4,,,,,,,,,,,,
eth5,,,,,,,,,,,,
eth6,,,,,,,,,,,,
gateway1,a,1,a1,2,10,0,0,3,1,24,rs28,admin4
gateway1-sp,a,1,a1,2,10,0,0,3,1,24,rs28,admin4
gateway2,b,1,b1,3,2,0,1,4,1,20,rs101,admin4
gateway2-sp,b,1,b1,3,2,0,1,4,1,20,rs101,admin4
gateway3,b,1,b1,4,2,0,1,6,1,20,rs115,admin4
gateway3-sp,b,1,b1,4,2,0,1,6,1,20,rs115,admin4
gateway4,a,2,a2,1,10,0,7,1,1,24,rs272,admin4
gateway4-sp,a,2,a2,1,10,0,7,1,1,24,rs272,admin4
gateway5,b,2,b2,1,2,0,6,0,1,20,rs328,admin4
gateway5-sp,b,2,b2,1,2,0,6,0,1,20,rs328,admin4
gateway6,b,2,b2,2,2,0,6,2,1,20,rs342,admin4
gateway6-sp,b,2,b2,2,2,0,6,2,1,20,rs342,admin4
gateway7,c,2,c2,4,8,0,5,7,1,20,rs444,admin4
gateway7-sp,c,2,c2,4,8,0,5,7,1,20,rs444,admin4
jumpnode1,,,,,,,,,,,,mrepper
jumpnode1-ilom,,,,,,,,,,,,
jumpnode2,,,,,,,,,,,,mrepper
jumpnode2-ilom,,,,,,,,,,,,
login1,a,1,a1,4,6,0,0,7,1,16,rs55,admin4
login1-sp,a,1,a1,4,6,0,0,7,1,16,rs55,admin4
login2,c,1,c1,2,6,0,2,3,1,16,rs146,admin4
login2-sp,c,1,c1,2,6,0,2,3,1,16,rs146,admin4
login3,b,2,b2,1,6,0,6,1,1,16,rs330,admin4
login3-sp,b,2,b2,1,6,0,6,1,1,16,rs330,admin4
login4,b,2,b2,3,6,0,6,5,1,16,rs361,admin4
login4-sp,b,2,b2,3,6,0,6,5,1,16,rs361,admin4
mds-home1,a,1,a1,2,6,0,0,3,1,16,rs23,admin4
mds-home1-sp,,,,,,,,,,,,
mds-home2,a,2,a2,1,6,0,7,1,1,16,rs268,admin4
mds-home2-sp,,,,,,,,,,,,
mds-proj1,c,1,c1,1,6,0,2,1,1,16,rs130,admin4
mds-proj1-sp,,,,,,,,,,,,
mds-proj2,c,2,c2,2,6,0,5,3,1,16,rs408,admin4
mds-proj2-sp,,,,,,,,,,,,
mds-scratch1,c,1,c1,1,4,0,2,0,1,24,rs129,admin4
mds-scratch1-sp,,,,,,,,,,,,
mds-scratch2,c,2,c2,2,4,0,5,2,1,24,rs407,admin4
mds-scratch2-sp,,,,,,,,,,,,
monitor1,,,,,,,,,,,,mrepper
oss-home1,b,1,b1,4,4,0,1,6,1,24,rs116,admin4
oss-home1-sp,,,,,,,,,,,,
oss-home2,b,2,b2,4,6,0,6,7,1,16,rs375,admin4
oss-home2-sp,,,,,,,,,,,,
oss-proj1,b,1,b1,4,6,0,1,7,1,16,rs117,admin4
oss-proj1-sp,,,,,,,,,,,,
oss-proj2,b,2,b2,4,4,0,6,6,1,24,rs374,admin4
oss-proj2-sp,,,,,,,,,,,,
oss-scratch1,a,1,a1,1,0,0,0,0,1,16,rs1,admin4
oss-scratch1-sp,,,,,,,,,,,,
oss-scratch10,c,1,c1,2,2,0,2,2,1,20,rs143,admin4
oss-scratch10-sp,,,,,,,,,,,,
oss-scratch11,c,1,c1,3,0,0,2,4,1,16,rs155,admin4
oss-scratch11-sp,,,,,,,,,,,,
oss-scratch12,c,1,c1,4,0,0,2,6,1,16,rs171,admin4
oss-scratch12-sp,,,,,,,,,,,,
oss-scratch13,a,2,a2,1,8,0,7,1,1,20,rs271,admin4
oss-scratch13-sp,,,,,,,,,,,,
oss-scratch14,a,2,a2,2,8,0,7,3,1,20,rs287,admin4
oss-scratch14-sp,,,,,,,,,,,,
oss-scratch15,a,2,a2,3,10,0,7,5,1,24,rs305,admin4
oss-scratch15-sp,,,,,,,,,,,,
oss-scratch16,a,2,a2,4,10,0,7,7,1,24,rs322,admin4
oss-scratch16-sp,,,,,,,,,,,,
oss-scratch17,b,2,b2,1,4,0,6,0,1,24,rs329,admin4
oss-scratch17-sp,,,,,,,,,,,,
oss-scratch18,b,2,b2,2,4,0,6,2,1,24,rs343,admin4
oss-scratch18-sp,,,,,,,,,,,,
oss-scratch19,b,2,b2,3,2,0,6,4,1,20,rs358,admin4
oss-scratch19-sp,,,,,,,,,,,,
oss-scratch2,a,1,a1,2,0,0,0,2,1,16,rs17,admin4
oss-scratch2-sp,,,,,,,,,,,,
oss-scratch20,b,2,b2,4,2,0,6,6,1,20,rs373,admin4
oss-scratch20-sp,,,,,,,,,,,,
oss-scratch21,c,2,c2,1,10,0,5,1,1,24,rs398,admin4
oss-scratch21-sp,,,,,,,,,,,,
oss-scratch22,c,2,c2,2,10,0,5,3,1,24,rs413,admin4
oss-scratch22-sp,,,,,,,,,,,,
oss-scratch23,c,2,c2,3,10,0,5,5,1,24,rs430,admin4
oss-scratch23-sp,,,,,,,,,,,,
oss-scratch24,c,2,c2,4,10,0,5,7,1,24,rs445,admin4
oss-scratch24-sp,,,,,,,,,,,,
oss-scratch3,a,1,a1,3,0,0,0,4,1,16,rs31,admin4
oss-scratch3-sp,,,,,,,,,,,,
oss-scratch4,a,1,a1,4,0,0,0,6,1,16,rs48,admin4
oss-scratch4-sp,,,,,,,,,,,,
oss-scratch5,b,1,b1,1,10,0,1,1,1,24,rs78,admin4
oss-scratch5-sp,,,,,,,,,,,,
oss-scratch6,b,1,b1,2,10,0,1,3,1,24,rs95,admin4
oss-scratch6-sp,,,,,,,,,,,,
oss-scratch7,b,1,b1,3,10,0,1,5,1,24,rs109,admin4
oss-scratch7-sp,,,,,,,,,,,,
oss-scratch8,b,1,b1,4,10,0,1,7,1,24,rs122,admin4
oss-scratch8-sp,,,,,,,,,,,,
oss-scratch9,c,1,c1,1,2,0,2,0,1,20,rs128,admin4
oss-scratch9-sp,,,,,,,,,,,,
redsky-gateway1-a,,,,,,,,,,,,
redsky-gateway1-b,,,,,,,,,,,,
redsky-gateway2-a,,,,,,,,,,,,
redsky-gateway2-b,,,,,,,,,,,,
redsky-gateway3-a,,,,,,,,,,,,
redsky-gateway3-b,,,,,,,,,,,,
redsky-gateway4-a,,,,,,,,,,,,
redsky-gateway4-b,,,,,,,,,,,,
redsky-gateway5-a,,,,,,,,,,,,
redsky-gateway5-b,,,,,,,,,,,,
redsky-gateway6-a,,,,,,,,,,,,
redsky-gateway6-b,,,,,,,,,,,,
redsky-gateway7-a,,,,,,,,,,,,
rs1,a,1,a1,1,0,0,0,0,1,17,oss-scratch1,boot6
rs1-sp,a,1,a1,1,0,0,0,0,1,17,oss-scratch1,boot6
rs10,a,1,a1,1,7,0,0,1,1,18,rs11,boot1
rs10-sp,a,1,a1,1,7,0,0,1,1,18,rs11,boot1
rs100,b,1,b1,3,1,0,1,4,1,19,rs99,boot2
rs100-sp,b,1,b1,3,1,0,1,4,1,19,rs99,boot2
rs1000,c,4,c4,3,8,1,5,5,2,20,rs1001,boot4
rs1000-sp,c,4,c4,3,8,1,5,5,2,20,rs1001,boot4
rs1001,c,4,c4,3,8,1,5,5,2,21,rs1000,boot4
rs1001-sp,c,4,c4,3,8,1,5,5,2,21,rs1000,boot4
rs1002,c,4,c4,3,10,1,5,5,2,24,rs1003,boot4
rs1002-sp,c,4,c4,3,10,1,5,5,2,24,rs1003,boot4
rs1003,c,4,c4,3,10,1,5,5,2,25,rs1002,boot4
rs1003-sp,c,4,c4,3,10,1,5,5,2,25,rs1002,boot4
rs1004,c,4,c4,3,11,1,5,5,2,26,rs1005,boot4
rs1004-sp,c,4,c4,3,11,1,5,5,2,26,rs1005,boot4
rs1005,c,4,c4,3,11,1,5,5,2,27,rs1004,boot4
rs1005-sp,c,4,c4,3,11,1,5,5,2,27,rs1004,boot4
rs1006,c,4,c4,4,0,1,5,6,2,16,rs1007,boot3
rs1006-sp,c,4,c4,4,0,1,5,6,2,16,rs1007,boot3
rs1007,c,4,c4,4,0,1,5,6,2,17,rs1006,boot3
rs1007-sp,c,4,c4,4,0,1,5,6,2,17,rs1006,boot3
rs1008,c,4,c4,4,1,1,5,6,2,18,rs1009,boot3
rs1008-sp,c,4,c4,4,1,1,5,6,2,18,rs1009,boot3
rs1009,c,4,c4,4,1,1,5,6,2,19,rs1008,boot3
rs1009-sp,c,4,c4,4,1,1,5,6,2,19,rs1008,boot3
rs101,b,1,b1,3,2,0,1,4,1,21,gateway2,boot2
rs101-sp,b,1,b1,3,2,0,1,4,1,21,gateway2,boot2
rs1010,c,4,c4,4,2,1,5,6,2,20,rs1011,boot3
rs1010-sp,c,4,c4,4,2,1,5,6,2,20,rs1011,boot3
rs1011,c,4,c4,4,2,1,5,6,2,21,rs1010,boot3
rs1011-sp,c,4,c4,4,2,1,5,6,2,21,rs1010,boot3
rs1012,c,4,c4,4,4,1,5,6,2,24,rs1013,boot3
rs1012-sp,c,4,c4,4,4,1,5,6,2,24,rs1013,boot3
rs1013,c,4,c4,4,4,1,5,6,2,25,rs1012,boot3
rs1013-sp,c,4,c4,4,4,1,5,6,2,25,rs1012,boot3
rs1014,c,4,c4,4,6,1,5,7,2,16,rs1015,boot8
rs1014-sp,c,4,c4,4,6,1,5,7,2,16,rs1015,boot8
rs1015,c,4,c4,4,6,1,5,7,2,17,rs1014,boot8
rs1015-sp,c,4,c4,4,6,1,5,7,2,17,rs1014,boot8
rs1016,c,4,c4,4,7,1,5,7,2,18,rs1017,boot8
rs1016-sp,c,4,c4,4,7,1,5,7,2,18,rs1017,boot8
rs1017,c,4,c4,4,7,1,5,7,2,19,rs1016,boot8
rs1017-sp,c,4,c4,4,7,1,5,7,2,19,rs1016,boot8
rs1018,c,4,c4,4,8,1,5,7,2,20,rs1019,boot8
rs1018-sp,c,4,c4,4,8,1,5,7,2,20,rs1019,boot8
rs1019,c,4,c4,4,8,1,5,7,2,21,rs1018,boot8
rs1019-sp,c,4,c4,4,8,1,5,7,2,21,rs1018,boot8
rs102,b,1,b1,3,4,0,1,4,1,25,admin2,boot2
rs102-sp,b,1,b1,3,4,0,1,4,1,25,admin2,boot2
rs1020,c,4,c4,4,10,1,5,7,2,24,rs1021,boot8
rs1020-sp,c,4,c4,4,10,1,5,7,2,24,rs1021,boot8
rs1021,c,4,c4,4,10,1,5,7,2,25,rs1020,boot8
rs1021-sp,c,4,c4,4,10,1,5,7,2,25,rs1020,boot8
rs1022,c,4,c4,4,11,1,5,7,2,26,rs1023,boot8
rs1022-sp,c,4,c4,4,11,1,5,7,2,26,rs1023,boot8
rs1023,c,4,c4,4,11,1,5,7,2,27,rs1022,boot8
rs1023-sp,c,4,c4,4,11,1,5,7,2,27,rs1022,boot8
rs1024,d,4,d4,1,0,1,4,0,2,16,rs1025,boot6
rs1024-sp,d,4,d4,1,0,1,4,0,2,16,rs1025,boot6
rs1025,d,4,d4,1,0,1,4,0,2,17,rs1024,boot6
rs1025-sp,d,4,d4,1,0,1,4,0,2,17,rs1024,boot6
rs1026,d,4,d4,1,1,1,4,0,2,18,rs1027,boot6
rs1026-sp,d,4,d4,1,1,1,4,0,2,18,rs1027,boot6
rs1027,d,4,d4,1,1,1,4,0,2,19,rs1026,boot6
rs1027-sp,d,4,d4,1,1,1,4,0,2,19,rs1026,boot6
rs1028,d,4,d4,1,2,1,4,0,2,20,rs1029,boot6
rs1028-sp,d,4,d4,1,2,1,4,0,2,20,rs1029,boot6
rs1029,d,4,d4,1,2,1,4,0,2,21,rs1028,boot6
rs1029-sp,d,4,d4,1,2,1,4,0,2,21,rs1028,boot6
rs103,b,1,b1,3,6,0,1,5,1,16,rs104,boot4
rs103-sp,b,1,b1,3,6,0,1,5,1,16,rs104,boot4
rs1030,d,4,d4,1,4,1,4,0,2,24,rs1031,boot6
rs1030-sp,d,4,d4,1,4,1,4,0,2,24,rs1031,boot6
rs1031,d,4,d4,1,4,1,4,0,2,25,rs1030,boot6
rs1031-sp,d,4,d4,1,4,1,4,0,2,25,rs1030,boot6
rs1032,d,4,d4,1,6,1,4,1,2,16,rs1033,boot1
rs1032-sp,d,4,d4,1,6,1,4,1,2,16,rs1033,boot1
rs1033,d,4,d4,1,6,1,4,1,2,17,rs1032,boot1
rs1033-sp,d,4,d4,1,6,1,4,1,2,17,rs1032,boot1
rs1034,d,4,d4,1,7,1,4,1,2,18,rs1035,boot1
rs1034-sp,d,4,d4,1,7,1,4,1,2,18,rs1035,boot1
rs1035,d,4,d4,1,7,1,4,1,2,19,rs1034,boot1
rs1035-sp,d,4,d4,1,7,1,4,1,2,19,rs1034,boot1
rs1036,d,4,d4,1,8,1,4,1,2,20,rs1037,boot1
rs1036-sp,d,4,d4,1,8,1,4,1,2,20,rs1037,boot1
rs1037,d,4,d4,1,8,1,4,1,2,21,rs1036,boot1
rs1037-sp,d,4,d4,1,8,1,4,1,2,21,rs1036,boot1
rs1038,d,4,d4,1,10,1,4,1,2,24,rs1039,boot1
rs1038-sp,d,4,d4,1,10,1,4,1,2,24,rs1039,boot1
rs1039,d,4,d4,1,10,1,4,1,2,25,rs1038,boot1
rs1039-sp,d,4,d4,1,10,1,4,1,2,25,rs1038,boot1
rs104,b,1,b1,3,6,0,1,5,1,17,rs103,boot4
rs104-sp,b,1,b1,3,6,0,1,5,1,17,rs103,boot4
rs1040,d,4,d4,1,11,1,4,1,2,26,rs1041,boot1
rs1040-sp,d,4,d4,1,11,1,4,1,2,26,rs1041,boot1
rs1041,d,4,d4,1,11,1,4,1,2,27,rs1040,boot1
rs1041-sp,d,4,d4,1,11,1,4,1,2,27,rs1040,boot1
rs1042,d,4,d4,2,0,1,4,2,2,16,rs1043,boot7
rs1042-sp,d,4,d4,2,0,1,4,2,2,16,rs1043,boot7
rs1043,d,4,d4,2,0,1,4,2,2,17,rs1042,boot7
rs1043-sp,d,4,d4,2,0,1,4,2,2,17,rs1042,boot7
rs1044,d,4,d4,2,1,1,4,2,2,18,rs1045,boot7
rs1044-sp,d,4,d4,2,1,1,4,2,2,18,rs1045,boot7
rs1045,d,4,d4,2,1,1,4,2,2,19,rs1044,boot7
rs1045-sp,d,4,d4,2,1,1,4,2,2,19,rs1044,boot7
rs1046,d,4,d4,2,2,1,4,2,2,20,rs1047,boot7
rs1046-sp,d,4,d4,2,2,1,4,2,2,20,rs1047,boot7
rs1047,d,4,d4,2,2,1,4,2,2,21,rs1046,boot7
rs1047-sp,d,4,d4,2,2,1,4,2,2,21,rs1046,boot7
rs1048,d,4,d4,2,4,1,4,2,2,24,rs1049,boot7
rs1048-sp,d,4,d4,2,4,1,4,2,2,24,rs1049,boot7
rs1049,d,4,d4,2,4,1,4,2,2,25,rs1048,boot7
rs1049-sp,d,4,d4,2,4,1,4,2,2,25,rs1048,boot7
rs105,b,1,b1,3,7,0,1,5,1,18,rs106,boot4
rs105-sp,b,1,b1,3,7,0,1,5,1,18,rs106,boot4
rs1050,d,4,d4,2,6,1,4,3,2,16,rs1051,boot5
rs1050-sp,d,4,d4,2,6,1,4,3,2,16,rs1051,boot5
rs1051,d,4,d4,2,6,1,4,3,2,17,rs1050,boot5
rs1051-sp,d,4,d4,2,6,1,4,3,2,17,rs1050,boot5
rs1052,d,4,d4,2,7,1,4,3,2,18,rs1053,boot5
rs1052-sp,d,4,d4,2,7,1,4,3,2,18,rs1053,boot5
rs1053,d,4,d4,2,7,1,4,3,2,19,rs1052,boot5
rs1053-sp,d,4,d4,2,7,1,4,3,2,19,rs1052,boot5
rs1054,d,4,d4,2,8,1,4,3,2,20,rs1055,boot5
rs1054-sp,d,4,d4,2,8,1,4,3,2,20,rs1055,boot5
rs1055,d,4,d4,2,8,1,4,3,2,21,rs1054,boot5
rs1055-sp,d,4,d4,2,8,1,4,3,2,21,rs1054,boot5
rs1056,d,4,d4,2,10,1,4,3,2,24,rs1057,boot5
rs1056-sp,d,4,d4,2,10,1,4,3,2,24,rs1057,boot5
rs1057,d,4,d4,2,10,1,4,3,2,25,rs1056,boot5
rs1057-sp,d,4,d4,2,10,1,4,3,2,25,rs1056,boot5
rs1058,d,4,d4,2,11,1,4,3,2,26,rs1059,boot5
rs1058-sp,d,4,d4,2,11,1,4,3,2,26,rs1059,boot5
rs1059,d,4,d4,2,11,1,4,3,2,27,rs1058,boot5
rs1059-sp,d,4,d4,2,11,1,4,3,2,27,rs1058,boot5
rs106,b,1,b1,3,7,0,1,5,1,19,rs105,boot4
rs106-sp,b,1,b1,3,7,0,1,5,1,19,rs105,boot4
rs1060,d,4,d4,3,0,1,4,4,2,16,rs1061,boot2
rs1060-sp,d,4,d4,3,0,1,4,4,2,16,rs1061,boot2
